,,,,,,,,State
State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AL,35548,BRILLIANT,0.040000,0.090000,0.020000,0.030000,0,1
AL,35549,CARBON HILL,0.040000,0.090000,0.020000,0.030000,0,1
AL,35550,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35551,HALEYVILLE (WINSTON CO),0.040000,0.100000,0.020000,0.040000,0,1
AL,35552,MARION COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35553,WINSTON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35554,FAYETTE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35555,FAYETTE COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35559,GLEN ALLEN (FAYETTE CO),0.040000,0.070000,0.020000,0.010000,0,2
AL,35560,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35563,GUIN,0.040000,0.090000,0.020000,0.030000,0,2
AL,35564,HACKLEBURG,0.040000,0.080000,0.020000,0.020000,0,1
AL,35565,HALEYVILLE (WINSTON CO),0.040000,0.100000,0.020000,0.040000,0,1
AL,35570,HAMILTON,0.040000,0.090000,0.020000,0.030000,0,2
AL,35571,FRANKLIN COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35572,WINSTON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35573,KANSAS,0.040000,0.070000,0.020000,0.010000,0,1
AL,35574,LAMAR COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35575,LYNN,0.040000,0.080000,0.020000,0.020000,0,1
AL,35576,LAMAR COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35577,LYNN,0.040000,0.080000,0.020000,0.020000,0,1
AL,35578,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35579,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35580,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35581,FRANKLIN COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35582,RED BAY,0.040000,0.085000,0.020000,0.025000,0,1
AL,35584,SIPSEY,0.040000,0.080000,0.020000,0.020000,0,1
AL,35585,FRANKLIN COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35586,LAMAR COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35587,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35592,LAMAR COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35593,FRANKLIN COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35594,WINFIELD (MARION CO),0.040000,0.100000,0.010000,0.050000,0,1
AL,35601,DECATUR (MORGAN CO),0.040000,0.090000,0.010000,0.040000,0,1
AL,35602,DECATUR (MORGAN CO),0.040000,0.090000,0.010000,0.040000,0,1
AL,35603,DECATUR (MORGAN CO),0.040000,0.090000,0.010000,0.040000,0,1
AL,35609,DECATUR (MORGAN CO),0.040000,0.090000,0.010000,0.040000,0,1
AL,35610,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35611,ATHENS,0.040000,0.090000,0.020000,0.030000,0,1
AL,35612,ATHENS,0.040000,0.090000,0.020000,0.030000,0,1
AL,35613,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35614,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35615,HUNTSVILLE (MADISON CO),0.040000,0.090000,0.005000,0.045000,0,1
AL,35616,COLBERT COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35617,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35618,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,2
AL,35619,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35620,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35621,MORGAN COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35622,MORGAN COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35630,FLORENCE,0.040000,0.095000,0.010000,0.045000,0,3
AL,35631,FLORENCE,0.040000,0.095000,0.010000,0.045000,0,1
AL,35632,FLORENCE,0.040000,0.095000,0.010000,0.045000,0,1
AL,35633,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35634,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35640,HARTSELLE,0.040000,0.090000,0.010000,0.040000,0,1
AL,35643,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35645,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35646,COLBERT COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35647,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35648,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35649,HUNTSVILLE (MADISON CO),0.040000,0.090000,0.005000,0.045000,0,1
AL,35650,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35651,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35652,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,2
AL,35653,RUSSELLVILLE,0.040000,0.090000,0.020000,0.030000,0,2
AL,35654,FRANKLIN COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35660,SHEFFIELD,0.040000,0.090000,0.005000,0.035000,0.010000,1
AL,35661,MUSCLE SHOALS,0.040000,0.090000,0.005000,0.035000,0.010000,1
AL,35662,MUSCLE SHOALS,0.040000,0.090000,0.005000,0.035000,0.010000,1
